Aug. 15, 2022   18:23:50
Cyclic Voltammetry
File: c:\iviumstat\datafolder\hj\rde\cv scans-3000 rpm o2-(-0.7v to -0.1v agagcl 0.1 m naoh).csv
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -0.1
High E (V) = -0.1
Low E (V) = -0.7
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.005
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-4

Segment 1:

Segment 2:

Potential/V, Current/A

-0.102, 2.027e-7
-0.107, 2.425e-8
-0.112, -6.639e-8
-0.117, -1.422e-7
-0.122, -2.162e-7
-0.127, -2.858e-7
-0.132, -3.594e-7
-0.137, -4.392e-7
-0.142, -5.279e-7
-0.147, -6.286e-7
-0.152, -7.479e-7
-0.157, -8.916e-7
-0.162, -1.064e-6
-0.167, -1.272e-6
-0.172, -1.523e-6
-0.177, -1.831e-6
-0.182, -2.205e-6
-0.187, -2.662e-6
-0.192, -3.218e-6
-0.197, -3.888e-6
-0.202, -4.700e-6
-0.207, -5.674e-6
-0.212, -6.837e-6
-0.217, -8.222e-6
-0.222, -9.857e-6
-0.227, -1.176e-5
-0.232, -1.401e-5
-0.237, -1.664e-5
-0.242, -1.967e-5
-0.247, -2.318e-5
-0.252, -2.717e-5
-0.257, -3.174e-5
-0.262, -3.688e-5
-0.267, -4.258e-5
-0.272, -4.895e-5
-0.277, -5.598e-5
-0.282, -6.365e-5
-0.287, -7.202e-5
-0.292, -8.100e-5
-0.297, -9.064e-5
-0.302, -1.008e-4
-0.307, -1.115e-4
-0.312, -1.228e-4
-0.317, -1.342e-4
-0.322, -1.459e-4
-0.327, -1.578e-4
-0.332, -1.697e-4
-0.337, -1.820e-4
-0.342, -1.948e-4
-0.347, -2.066e-4
-0.352, -2.188e-4
-0.357, -2.300e-4
-0.362, -2.415e-4
-0.367, -2.521e-4
-0.372, -2.626e-4
-0.377, -2.721e-4
-0.382, -2.816e-4
-0.387, -2.897e-4
-0.392, -2.988e-4
-0.397, -3.078e-4
-0.402, -3.142e-4
-0.407, -3.221e-4
-0.412, -3.283e-4
-0.417, -3.349e-4
-0.422, -3.391e-4
-0.427, -3.455e-4
-0.432, -3.490e-4
-0.437, -3.520e-4
-0.442, -3.573e-4
-0.447, -3.616e-4
-0.452, -3.632e-4
-0.457, -3.674e-4
-0.462, -3.666e-4
-0.467, -3.702e-4
-0.472, -3.710e-4
-0.477, -3.712e-4
-0.482, -3.722e-4
-0.487, -3.738e-4
-0.492, -3.746e-4
-0.497, -3.739e-4
-0.502, -3.751e-4
-0.507, -3.739e-4
-0.512, -3.735e-4
-0.517, -3.715e-4
-0.522, -3.716e-4
-0.527, -3.709e-4
-0.532, -3.682e-4
-0.537, -3.668e-4
-0.542, -3.651e-4
-0.547, -3.640e-4
-0.552, -3.616e-4
-0.557, -3.602e-4
-0.562, -3.565e-4
-0.567, -3.536e-4
-0.572, -3.525e-4
-0.577, -3.495e-4
-0.582, -3.464e-4
-0.587, -3.436e-4
-0.592, -3.411e-4
-0.597, -3.381e-4
-0.602, -3.349e-4
-0.607, -3.333e-4
-0.612, -3.318e-4
-0.617, -3.288e-4
-0.622, -3.269e-4
-0.627, -3.276e-4
-0.632, -3.265e-4
-0.637, -3.257e-4
-0.642, -3.228e-4
-0.647, -3.264e-4
-0.652, -3.268e-4
-0.657, -3.279e-4
-0.662, -3.282e-4
-0.667, -3.298e-4
-0.672, -3.315e-4
-0.677, -3.332e-4
-0.682, -3.350e-4
-0.687, -3.381e-4
-0.692, -3.398e-4
-0.697, -3.429e-4
-0.698, -3.397e-4
-0.693, -3.368e-4
-0.688, -3.325e-4
-0.683, -3.302e-4
-0.678, -3.268e-4
-0.673, -3.256e-4
-0.668, -3.228e-4
-0.663, -3.216e-4
-0.658, -3.199e-4
-0.653, -3.169e-4
-0.648, -3.180e-4
-0.643, -3.170e-4
-0.638, -3.167e-4
-0.633, -3.169e-4
-0.628, -3.157e-4
-0.623, -3.180e-4
-0.618, -3.194e-4
-0.613, -3.214e-4
-0.608, -3.225e-4
-0.603, -3.233e-4
-0.598, -3.265e-4
-0.593, -3.299e-4
-0.588, -3.327e-4
-0.583, -3.355e-4
-0.578, -3.383e-4
-0.573, -3.408e-4
-0.568, -3.437e-4
-0.563, -3.458e-4
-0.558, -3.497e-4
-0.553, -3.499e-4
-0.548, -3.551e-4
-0.543, -3.554e-4
-0.538, -3.570e-4
-0.533, -3.592e-4
-0.528, -3.608e-4
-0.523, -3.628e-4
-0.518, -3.641e-4
-0.513, -3.630e-4
-0.508, -3.635e-4
-0.503, -3.644e-4
-0.498, -3.643e-4
-0.493, -3.643e-4
-0.488, -3.637e-4
-0.483, -3.627e-4
-0.478, -3.615e-4
-0.473, -3.600e-4
-0.468, -3.575e-4
-0.463, -3.568e-4
-0.458, -3.558e-4
-0.453, -3.543e-4
-0.448, -3.486e-4
-0.443, -3.466e-4
-0.438, -3.442e-4
-0.433, -3.393e-4
-0.428, -3.345e-4
-0.423, -3.299e-4
-0.418, -3.240e-4
-0.413, -3.171e-4
-0.408, -3.113e-4
-0.403, -3.052e-4
-0.398, -2.977e-4
-0.393, -2.900e-4
-0.388, -2.825e-4
-0.383, -2.731e-4
-0.378, -2.630e-4
-0.373, -2.548e-4
-0.368, -2.446e-4
-0.363, -2.346e-4
-0.358, -2.227e-4
-0.353, -2.120e-4
-0.348, -2.002e-4
-0.343, -1.885e-4
